period_id,period_name,start_year,end_year,start_label,end_label,broad_era,main_capital,period_type,description,date_status
P001,Prehistoric Vietnam,-25000,-2880,"25,000 BCE",before 2879 BCE,Pre-state / archaeological,None,Archaeological period,"Early archaeological cultures and technologies, including Soi Nhụ, Ngườm, Sơn Vi, Hoabinhian, Bắc Sơn, Quỳnh Văn, Cái Bèo, early rice cultivation, and Đa Bút.",Archaeological dates; approximate
P002,Xích Quỷ / early Hùng tradition,-2879,-2794,2879 BCE,2794 BCE,Ancient / legendary state formation,Phong Châu,Legendary/traditional polity,Traditional account of Kinh Dương Vương unifying vassal states into Xích Quỷ and ruling as Hùng king from Phong Châu.,Legendary/traditional dates; needs historical caution
P003,Văn Lang / Hùng Kings,-2793,-258,2793 BCE,258 BCE,Ancient Vietnam,Phong Châu,Early polity / legendary dynasty,"Traditional Hùng king period associated with Lạc Việt society, wet-rice agriculture, calendar use, bronze casting, irrigation, Đông Sơn culture, and early Vietnamese identity.",Legendary/traditional dates; cultural developments vary by source
P004,Âu Lạc,-257,-207,257 BCE,207 BCE,Ancient Vietnam,Cổ Loa,Early polity,"Thục Phán/An Dương Vương conquered Văn Lang, renamed the country Âu Lạc, and ruled from Cổ Loa Citadel until Zhao Tuo captured Cổ Loa.",Traditional/historical synthesis
P005,Nanyue / Triệu rule,-207,-111,207 BCE,111 BCE,Regional kingdom / pre-Chinese domination,"Panyu, Guangzhou; Jiaozhi/Jiuzhen in Vietnam region",Regional kingdom,"Zhao Tuo took control of Âu Lạc territory, organized Jiaozhi and Jiuzhen, and later declared the kingdom of Nanyue before Han conquest.",Historical dates from timeline; verify details
P006,First Chinese domination,-111,39,111 BCE,39 CE,Chinese imperial rule,Jiaozhi / Luy Lâu region,Foreign rule,Han conquest of Nanyue brought Jiaozhi and related commanderies under Chinese imperial administration until the Trưng Sisters' uprising.,Historical periodization; approximate end at 39/40
P007,Trưng Sisters uprising,40,43,40 CE,43 CE,Resistance / short-lived autonomy,Mê Linh / Red River Delta,Uprising / short-lived state,The Trưng Sisters led a major rebellion against Han authority in the Red River Delta before Han forces restored control.,Historical dates from timeline
P008,Second Chinese domination,43,543,43 CE,543 CE,Chinese imperial rule,Jiaozhou / Luy Lâu region,Foreign rule,Chinese imperial administration resumed after the Trưng Sisters' defeat and lasted until Lý Nam Đế established Vạn Xuân.,Historical periodization
P009,Vạn Xuân / Early Lý and Triệu Việt Vương,544,602,544 CE,602 CE,Early independence attempt,Long Biên; later Phong Châu,Independent polity,"Lý Nam Đế proclaimed Vạn Xuân after expelling Liang forces; later rule involved Triệu Việt Vương, Lý Thiên Bảo, and Hậu Lý Nam Đế before Sui conquest.",Historical dates from timeline
P010,Third Chinese domination / Annam period,602,937,602 CE,937 CE,Chinese imperial rule,Tống Bình / Đại La area,Foreign rule,"Sui and later Tang-era control over the region, with notable resistance movements such as Mai Thúc Loan and Phùng Hưng before Ngô Quyền's victory.",Historical periodization
P011,Ngô dynasty and Twelve Warlords transition,938,967,938 CE,967 CE,Independent dynasties,Cổ Loa; regional warlord centers,Dynasty / transition,"Ngô Quyền's victory at Bạch Đằng ended long Chinese domination and founded the Ngô dynasty, followed by the Anarchy of the Twelve Warlords.",Historical periodization
P012,Đinh dynasty / Đại Cồ Việt,968,980,968 CE,980 CE,Independent dynasties,Hoa Lư,Dynasty,Đinh Bộ Lĩnh unified the country after the warlord period and established Đại Cồ Việt with capital at Hoa Lư.,Historical periodization
P013,Early Lê dynasty,980,1009,980 CE,1009 CE,Independent dynasties,Hoa Lư,Dynasty,"Lê Hoàn took power, defended Đại Cồ Việt against Song invasion, and campaigned against Champa before the Lý dynasty began.",Historical periodization
P014,Lý dynasty,1009,1225,1009 CE,1225 CE,Independent dynasties,Thăng Long,Dynasty,"Lý Thái Tổ founded the dynasty and moved the capital from Hoa Lư to Đại La/Thăng Long; the period saw state consolidation, exams, education, and conflict with Song.",Historical periodization
P015,Trần dynasty,1226,1400,1226 CE,1400 CE,Independent dynasties,Thăng Long,Dynasty,"The Trần dynasty ruled Đại Việt and is strongly associated with resistance against Mongol/Yuan invasions, the Bình Than and Diên Hồng conferences, and Trần Hưng Đạo.",Historical periodization
P016,Hồ dynasty / Đại Ngu,1400,1407,1400 CE,1407 CE,Dynastic transition,Tây Đô / Citadel of the Hồ dynasty,Dynasty,"Hồ Quý Ly overthrew the Trần, renamed the country Đại Ngu, moved the capital, and faced the Ming–Hồ War.",Historical dates from timeline
P017,Ming occupation and Lam Sơn uprising,1407,1428,1407 CE,1428 CE,Foreign rule / resistance,Đông Quan; Lam Sơn resistance base,Foreign rule / liberation movement,Ming forces captured Đại Ngu capitals; Lê Lợi's Lam Sơn uprising restored independence and the Bình Ngô đại cáo affirmed Đại Việt's sovereignty.,Historical periodization
P018,Later Lê dynasty / early consolidated Lê,1428,1527,1428 CE,1527 CE,Independent dynasties,Đông Kinh / Thăng Long,Dynasty,"Lê Lợi founded the Later Lê dynasty; under rulers such as Lê Thánh Tông, Đại Việt developed official histories, law codes, and centralized institutions.",Historical periodization
P019,Mạc dynasty and Lê–Mạc conflict,1527,1592,1527 CE,1592 CE,Dynastic conflict,Đông Kinh; Cao Bằng after retreat,Dynasty / civil conflict,Mạc Đăng Dung forced Lê Cung Hoàng to abdicate and established the Mạc dynasty; the Lê–Mạc War ended with the Revival Lê regaining the capital.,Historical periodization
P020,Restored Lê and Trịnh–Nguyễn division,1592,1777,1592 CE,1777 CE,Divided rule,Đông Kinh/Thăng Long; Phú Xuân/Gia Định in the south,Restored dynasty / divided polity,"The Revival Lê restored the dynasty while real power was divided between Trịnh lords in the north and Nguyễn lords in the south, including the Trịnh–Nguyễn War from 1627.",Historical periodization
