event_id,event_name,year_start,year_end,year_label,date_label,date_detail,period_id,period_name,broad_era,category,location_ids,location_names,person_ids,person_names,description_short,description_long,importance_score
E0001,Soi Nhụ culture appeared,-25000,,25000 BCE,25000 BCE,,P001,Prehistoric Vietnam,Pre-state / archaeological,Culture,,,,,The Soi Nhụ culture appeared.,The Soi Nhụ culture appeared.,3
E0002,Ngườm culture appeared,-23000,,23000 BCE,23000 BCE,,P001,Prehistoric Vietnam,Pre-state / archaeological,Culture,,,,,The Ngườm culture appeared.,The Ngườm culture appeared.,3
E0003,Sơn Vi culture appeared in modern Lâm Thao district,-20000,,20000 BCE,20000 BCE,,P001,Prehistoric Vietnam,Pre-state / archaeological,Culture,L002,Lâm Thao district,,,The Sơn Vi culture appeared in modern Lâm Thao district.,The Sơn Vi culture appeared in modern Lâm Thao district.,3
E0004,Hoabinhian artifacts began to be produced in Northern Vietnam,-12000,,12000 BCE,12000 BCE,,P001,Prehistoric Vietnam,Pre-state / archaeological,Culture,L001,Northern Vietnam,,,Hoabinhian artifacts began to be produced in Northern Vietnam.,Hoabinhian artifacts began to be produced in Northern Vietnam.,3
E0005,Bắc Sơn culture appeared,-10000,,10000 BCE,10000 BCE,,P001,Prehistoric Vietnam,Pre-state / archaeological,Culture,,,,,The Bắc Sơn culture appeared.,The Bắc Sơn culture appeared.,3
E0006,Quỳnh Văn culture appeared,-8000,,8000 BCE,8000 BCE,,P001,Prehistoric Vietnam,Pre-state / archaeological,Culture,,,,,The Quỳnh Văn culture appeared.,The Quỳnh Văn culture appeared.,3
E0007,Cái Bèo culture appeared,-5000,,5000 BCE,5000 BCE,,P001,Prehistoric Vietnam,Pre-state / archaeological,Culture,,,,,The Cái Bèo culture appeared.,The Cái Bèo culture appeared.,3
E0008,first rice cultivation of which evidence survives in modern Vietnam took place,-4000,,4000 BCE,4000 BCE,,P001,Prehistoric Vietnam,Pre-state / archaeological,Economy,,,,,The first rice cultivation of which evidence survives in modern Vietnam took place.,The first rice cultivation of which evidence survives in modern Vietnam took place.,2
E0009,Đa Bút culture appeared in what is now Vĩnh Lộc district,-4000,,4000 BCE,4000 BCE,,P001,Prehistoric Vietnam,Pre-state / archaeological,Culture,L003,Vĩnh Lộc district,,,The Đa Bút culture appeared in what is now Vĩnh Lộc district.,The Đa Bút culture appeared in what is now Vĩnh Lộc district.,3
E0010,Wet rice was cultivated in the Red River Delta,-3500,,3500 BCE,3500 BCE,,P001,Prehistoric Vietnam,Pre-state / archaeological,Economy,L004,Red River Delta,,,Wet rice was cultivated in the Red River Delta.,Wet rice was cultivated in the Red River Delta.,2
E0011,"Kinh Dương Vương unified all vassal states in his territory into the single state of Xích Quỷ, which he rul...",-2879,,2879 BCE,2879 BCE,,P002,Xích Quỷ / early Hùng tradition,Ancient / legendary state formation,Politics,L006,Phong Châu,PE001,Kinh Dương Vương,"Kinh Dương Vương unified all vassal states in his territory into the single state of Xích Quỷ, which he ruled as Hùng king from the capital at Phong Châu. He also sponsored the development of martial arts in Xích Quỷ at the time.","Kinh Dương Vương unified all vassal states in his territory into the single state of Xích Quỷ, which he ruled as Hùng king from the capital at Phong Châu. He also sponsored the development of martial arts in Xích Quỷ at the time.",3
