story_era_id,sequence_order,event_id,event_role,parent_event_id,connector_label,display_title,year_start,year_label,category,importance_score,period_id,period_name,broad_era,people,locations,historical_status,summary
S01,1,E0001,era_anchor,,sets up,Soi Nhụ culture appeared,-25000,25000 BCE,Culture,3,P001,Prehistoric Vietnam,Pre-state / archaeological,,,Archaeological dates; approximate,The Soi Nhụ culture appeared.
S01,2,E0004,connected_event,E0001,connects to,Hoabinhian artifacts began to be produced in Northern Vietnam,-12000,12000 BCE,Culture,3,P001,Prehistoric Vietnam,Pre-state / archaeological,,Northern Vietnam,Archaeological dates; approximate,Hoabinhian artifacts began to be produced in Northern Vietnam.
S01,3,E0011,connected_event,E0004,connects to,"Kinh Dương Vương unified all vassal states in his territory into the single state of Xích Quỷ, which he rul...",-2879,2879 BCE,Politics,3,P002,Xích Quỷ / early Hùng tradition,Ancient / legendary state formation,Kinh Dương Vương,Phong Châu,Legendary/traditional dates; needs historical caution,"Kinh Dương Vương unified all vassal states in his territory into the single state of Xích Quỷ, which he ruled as Hùng king from the capital at Phong Châu. He also sponsored the development of martial arts in Xích Quỷ at the time."
S01,4,E0037,connected_event,E0011,connects to,Đông Sơn culture appeared in the valley of the Red River,-1000,1000 BCE,Culture,3,P003,Văn Lang / Hùng Kings,Ancient Vietnam,,,Legendary/traditional dates; cultural developments vary by source,The Đông Sơn culture appeared in the valley of the Red River.
S01,5,E0391,major_event,E0037,leads to,Văn Lang likely formed as a Lạc Việt kingdom,-700,700 BCE,Politics,5,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Hùng kings,Phong Châu;Northern Vietnam;Red River Delta,Legendary/traditional dates; cultural developments vary by source,Modern research and archaeological evidence are described as broadly supporting a Văn Lang kingdom around the 7th century BCE.
S01,6,E0392,connected_event,E0391,connects to,Văn Lang organized a 15-bộ administrative system,-700,700 BCE,Politics,4,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Hùng kings,Northern Vietnam;Red River Delta,Legendary/traditional dates; cultural developments vary by source,"Văn Lang's early monarchy was described as having Hùng kings, Lạc hầu, Lạc tướng and 15 bộ, with villages managed by Bồ chính."
S01,7,E0059,major_event,E0392,leads to,"Thục Phán, ruler of the Âu Việt, invaded and conquered Văn Lang",-257,257 BCE,Military,5,P004,Âu Lạc,Ancient Vietnam,Thục Phán,Cổ Loa Citadel,Traditional/historical synthesis,"Thục Phán, ruler of the Âu Việt, invaded and conquered Văn Lang. He renamed the country Âu Lạc and took the regnal name An Dương Vương, ruling as king from Cổ Loa Citadel."
S01,8,E0393,connected_event,E0059,connects to,Âu Việt–Lạc Việt alliance resisted Qin invasion,-214,214 BCE,Military,4,P004,Âu Lạc,Ancient Vietnam,Thục Phán,Cổ Loa;Northern Vietnam,Traditional/historical synthesis,The source states that the Âu Việt–Lạc Việt alliance defeated a Qin invasion before or during the formation of Âu Lạc.
S01,9,E0394,major_event,E0393,leads to,Triệu Đà conquered Âu Lạc,-208,208 BCE,Politics,5,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Triệu Đà;An Dương Vương,Cổ Loa;Phiên Ngung,Historical dates from timeline; verify details,Triệu Đà annexed Âu Lạc; the source gives 208 BCE or 179 BCE as possible dates.
S01,10,E0065,turning_point,E0394,turns toward next era,"Zhao Tuo declared himself king of Nanyue, with his capital in modern Panyu, Guangzhou",-203,203 BCE,Politics,5,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Zhao Tuo,Panyu / Guangzhou,Historical dates from timeline; verify details,"Zhao Tuo declared himself king of Nanyue, with his capital in modern Panyu, Guangzhou."
